1,亜,亞,二,7,S,,あ
1612,拝,拜,手,8,6,,はい
1612,拝,拜,手,8,6,,はい
1614,背,,肉,9,6,,はい
1614,背,,肉,9,6,,はい
1616,俳,,人,10,6,,はい
1616,俳,,人,10,6,,はい
1617,配,,酉,10,3,,はい
1618,排,,手,11,S,,はい
1619,敗,,攴,11,4,,はい
1620,廃,廢,广,12,S,,はい
1621,輩,,車,15,S,,はい
1622,売,賣,貝,7,2,,ばい
1623,倍,,人,10,3,,ばい
1624,梅,梅,木,10,4,,ばい
1626,陪,,阜,11,S,,ばい
1627,媒,,女,12,S,,ばい
1628,買,,貝,12,2,,ばい
1628,買,,貝,12,2,,ばい
1630,白,,白,5,1,,はく
1630,白,,白,5,1,,はく
1631,伯,,人,7,S,,はく
1633,泊,,水,8,S,,はく
1633,泊,,水,8,S,,はく
1634,迫,,辵,8,S,,はく
1636,舶,,舟,11,S,,はく
1637,博,,十,12,4,,はく
1637,博,,十,12,4,,はく
1638,薄,,艸,16,S,,はく
1640,漠,,水,13,S,1981,ばく
1641,縛,,糸,16,S,,ばく
1642,爆,,火,19,S,,ばく
1642,爆,,火,19,S,,ばく
1643,箱,,竹,15,3,,はこ
1645,畑,,田,9,3,,はた、はたけ
1646,肌,,肉,6,S,1981,はだ
1647,八,,八,2,1,,はち
1647,八,,八,2,1,,はち
1649,発,發,癶,9,3,,はつ
1649,発,發,癶,9,3,,はつ
1651,伐,,人,6,S,,ばつ
1652,抜,拔,手,7,S,,ばつ
1652,抜,拔,手,7,S,,ばつ
1654,閥,,門,14,S,,ばつ
1655,反,,又,4,3,,はん
1655,反,,又,4,3,,はん
1656,半,,十,5,2,,はん
1658,犯,,犬,5,5,,はん
1658,犯,,犬,5,5,,はん
1660,汎,,水,6,S,2010,はん
1661,伴,,人,7,S,,はん
1661,伴,,人,7,S,,はん
1662,判,,刀,7,5,,はん
1663,坂,,土,7,3,,はん
1664,阪,,阜,7,4,2010,はん
1665,板,,木,8,3,,はん
1666,版,,片,8,5,,はん
1668,畔,,田,10,S,,はん
1669,般,,舟,10,S,,はん
1669,般,,舟,10,S,,はん
1670,販,,貝,11,S,,はん
1672,飯,,食,12,4,,はん
1672,飯,,食,12,4,,はん
1674,煩,,火,13,S,,はん
1675,頒,,頁,13,S,,はん
1676,範,,竹,15,S,,はん
1676,範,,竹,15,S,,はん
1677,繁,繁,糸,16,S,,はん
1678,藩,,艸,18,S,,はん
1679,晩,晚,日,12,6,,ばん
1680,番,,田,12,2,,ばん
1682,盤,,皿,15,S,,ばん
1682,盤,,皿,15,S,,ばん
1683,比,,比,4,5,,ひ
1684,皮,,皮,5,3,,ひ
1685,妃,,女,6,S,,ひ
1686,否,,口,7,6,,ひ
1687,批,,手,7,6,,ひ
1688,彼,,彳,8,S,,かれ
1690,肥,,肉,8,5,,ひ
1691,非,,非,8,5,,ひ
1691,非,,非,8,5,,ひ
1693,飛,,飛,9,4,,ひ
1693,飛,,飛,9,4,,ひ
1695,秘,祕,示,10,6,,ひ
1695,秘,祕,示,10,6,,ひ
1696,被,,衣,10,S,,ひ
1697,悲,,心,12,3,,ひ
1699,費,,貝,12,5,,ひ
1699,費,,貝,12,5,,ひ
1701,罷,,网,15,S,,ひ
1702,避,,辵,16,S,,ひ
1702,避,,辵,16,S,,ひ
1703,尾,,尸,7,S,,び
1705,美,,羊,9,3,,び
1705,美,,羊,9,3,,び
1706,備,,人,12,5,,び
1707,微,,彳,13,S,,び
1709,膝,,肉,15,S,2010,ひざ
1710,肘,,肉,7,S,2010,ひじ
1711,匹,,匸,4,S,,ひつ
1712,必,,心,5,4,,ひつ
1712,必,,心,5,4,,ひつ
1714,筆,,竹,12,3,,ひつ
1714,筆,,竹,12,3,,ひつ
1715,姫,,女,10,S,,ひめ
1716,百,,白,6,1,,ひゃく
1718,表,,衣,8,3,,ひょう
1718,表,,衣,8,3,,ひょう
1720,票,,示,11,4,,ひょう
1720,票,,示,11,4,,ひょう
1721,評,,言,12,5,,ひょう
1723,標,,木,15,4,,ひょう
1723,標,,木,15,4,,ひょう
1725,秒,,禾,9,3,,びょう
1725,秒,,禾,9,3,,びょう
1726,病,,疒,10,3,,びょう
1727,描,,手,11,S,,びょう
1729,品,,口,9,3,,ひん
1729,品,,口,9,3,,ひん
1730,浜,濱,水,10,S,,ひん
1732,賓,賓,貝,15,S,,ひん
1733,頻,頻,頁,17,S,1981,ひん
1733,頻,頻,頁,17,S,1981,ひん
1735,瓶,甁,瓦,11,S,1981,びん
1736,不,,一,4,4,,ふ
1736,不,,一,4,4,,ふ
1737,夫,,大,4,4,,ふ
1738,父,,父,4,2,,ふ
1739,付,,人,5,4,,ふ
1740,布,,巾,5,5,,ふ
1742,府,,广,8,4,,ふ
1742,府,,广,8,4,,ふ
1744,阜,,阜,8,4,2010,（ふ）
1745,附,,阜,8,S,,ふ
1745,附,,阜,8,S,,ふ
1747,負,,貝,9,3,,ふ
1747,負,,貝,9,3,,ふ
1749,浮,,水,10,S,,ふ
1749,浮,,水,10,S,,ふ
1750,婦,,女,11,5,,ふ
1751,符,,竹,11,S,,ふ
1752,富,,宀,12,4,,ふ
1753,普,,日,12,S,,ふ
1755,敷,,攴,15,S,,ふ
1755,敷,,攴,15,S,,ふ
1757,賦,,貝,15,S,,ふ
1758,譜,,言,19,S,,ふ
1758,譜,,言,19,S,,ふ
1760,武,,止,8,5,,ぶ
1760,武,,止,8,5,,ぶ
1761,部,,邑,11,3,,ぶ
1762,舞,,舛,15,S,,ぶ
1763,封,,寸,9,S,,ふう
1764,風,,風,9,2,,ふう
1765,伏,,人,6,S,,ふく
1766,服,,月,8,3,,ふく
1767,副,,刀,11,4,,ふく
1768,幅,,巾,12,S,,ふく
1769,復,,彳,12,5,,ふく
1770,福,福,示,13,3,,ふく
1772,複,,衣,14,5,,ふく
1772,複,,衣,14,5,,ふく
1774,払,拂,手,5,S,,ふつ
1775,沸,,水,8,S,,ふつ
1776,仏,佛,人,4,5,,ぶつ
1776,仏,佛,人,4,5,,
1777,物,,牛,8,3,,ぶつ
1779,紛,,糸,10,S,,ふん
1780,雰,,雨,12,S,1981,ふん
1781,噴,,口,15,S,,ふん
1782,墳,,土,15,S,,ふん
1782,墳,,土,15,S,,ふん
1784,奮,,大,16,6,,ふん
1785,分,,刀,4,2,,ぶん
1785,分,,刀,4,2,,ぶん
1786,文,,文,4,1,,ぶん
1787,聞,,耳,14,2,,ぶん
1789,平,,干,5,3,,へい
1789,平,,干,5,3,,へい
1790,兵,,八,7,4,,へい
1791,併,倂,人,8,S,,へい
1792,並,竝,立,8,6,,へい
1793,柄,,木,9,S,,へい
1795,閉,,門,11,6,,へい
1795,閉,,門,11,6,,へい
1797,幣,,巾,15,S,,へい
1797,幣,,巾,15,S,,へい
1799,蔽,,艸,15,S,2010,へい
1800,餅,餠,食,15,S,2010,へい
1801,米,,米,6,2,,べい
1801,米,,米,6,2,,べい
1803,璧,,玉,18,S,2010,へき
1804,癖,,疒,18,S,,へき
1805,別,,刀,7,4,,べつ
1805,別,,刀,7,4,,べつ
1807,片,,片,4,6,,へん
1807,片,,片,4,6,,へん
1808,辺,邊,辵,5,4,,へん
1809,返,,辵,7,3,,へん
1810,変,變,言,9,4,,へん
1812,遍,,辵,12,S,,へん
1813,編,,糸,15,5,,へん
1813,編,,糸,15,5,,へん
1814,弁,辨,辛,5,5,,べん
1815,便,,人,9,4,,べん
1816,勉,勉,力,10,3,,べん
1817,歩,步,止,8,2,,ほ
1818,保,,人,9,5,,ほ
1820,捕,,手,10,S,,ほ
1820,捕,,手,10,S,,ほ
1821,補,,衣,12,6,,ほ
1823,母,,毋,5,2,,ぼ
1823,母,,毋,5,2,,ぼ
1824,募,,力,12,S,,ぼ
1825,墓,,土,13,5,,ぼ
1827,暮,,日,14,6,,ぼ
1827,暮,,日,14,6,,ぼ
1828,簿,,竹,19,S,,ぼ
1829,方,,方,4,2,,ほう
1830,包,,勹,5,4,,ほう
1832,邦,,邑,7,S,,ほう
1832,邦,,邑,7,S,,ほう
1834,宝,寶,宀,8,6,,ほう
1834,宝,寶,宀,8,6,,ほう
1835,抱,,手,8,S,,ほう
1836,放,,攴,8,3,,ほう
1837,法,,水,8,4,,ほう
1839,胞,,肉,9,S,,ほう
1840,俸,,人,10,S,1981,ほう
1841,倣,,人,10,S,,ほう
1842,峰,,山,10,S,,ほう
1843,砲,,石,10,S,,ほう
1843,砲,,石,10,S,,ほう
1845,訪,,言,11,6,,ほう
1845,訪,,言,11,6,,ほう
1846,報,,土,12,5,,ほう
1848,豊,豐,豆,13,5,,ほう
1848,豊,豐,豆,13,5,,ほう
1850,褒,襃,衣,15,S,1981,ほう
1851,縫,,糸,16,S,,ほう
1852,亡,,亠,3,6,,ぼう
1852,亡,,亠,3,6,,ぼう
1854,忙,,心,6,S,,ぼう
1855,坊,,土,7,S,,ぼう
1856,妨,,女,7,S,,ぼう
1857,忘,,心,7,6,,ぼう
1858,防,,阜,7,5,,ぼう
1858,防,,阜,7,5,,ぼう
1859,房,,戶,8,S,,ぼう
1861,某,,木,9,S,,ぼう
1862,冒,,冂,9,S,,ぼう
1862,冒,,冂,9,S,,ぼう
1864,紡,,糸,10,S,,ぼう
1865,望,,月,11,4,,ぼう
1865,望,,月,11,4,,ぼう
1867,帽,,巾,12,S,,ぼう
1868,棒,,木,12,6,,ぼう
1868,棒,,木,12,6,,ぼう
1870,貌,,豸,14,S,2010,ぼう
1871,暴,,日,15,5,,ぼう
1871,暴,,日,15,5,,ぼう
1873,謀,,言,16,S,,ぼう
1873,謀,,言,16,S,,ぼう
1875,北,,匕,5,2,,ほく
1875,北,,匕,5,2,,ほく
1876,木,,木,4,1,,もく
1878,牧,,牛,8,4,,ぼく
1878,牧,,牛,8,4,,ぼく
1880,僕,,人,14,S,1981,ぼく
1880,僕,,人,14,S,1981,ぼく
1882,撲,,手,15,S,,ぼく
1882,撲,,手,15,S,,ぼく
1883,没,沒,水,7,S,,ぼつ
1885,堀,,土,11,S,1981,ほり
1885,堀,,土,11,S,1981,ほり
1886,本,,木,5,1,,ほん
1888,翻,飜,飛,18,S,,ほん
1889,凡,,几,3,S,,ぼん
1890,盆,,皿,9,S,,ぼん
1891,麻,,麻,11,S,,ま
1891,麻,,麻,11,S,,ま
1892,摩,,手,15,S,,ま
1894,魔,,鬼,21,S,,ま
1894,魔,,鬼,21,S,,ま
1895,毎,每,毋,6,2,,まい
1896,妹,,女,8,2,,まい
1898,昧,,日,9,S,2010,まい
1899,埋,,土,10,S,,まい
1900,幕,,巾,13,6,,まく
1900,幕,,巾,13,6,,まく
1902,枕,,木,8,S,2010,まくら
1903,又,,又,2,S,,また
1903,又,,又,2,S,,また
1904,末,,木,5,4,,まつ
1906,万,萬,艸,3,2,,まん
1907,満,滿,水,12,4,,まん
1907,満,滿,水,12,4,,まん
1909,漫,,水,14,S,,まん
1909,漫,,水,14,S,,まん
1910,未,,木,5,4,,み
1911,味,,口,8,3,,み
1913,岬,,山,8,S,1981,みさき
1914,密,,宀,11,6,,みつ
1914,密,,宀,11,6,,みつ
1916,脈,,肉,10,5,,みゃく
1916,脈,,肉,10,5,,みゃく
1917,妙,,女,7,S,,みょう
1918,民,,氏,5,4,,みん
1920,矛,,矛,5,S,,む
1921,務,,力,11,5,,む
1921,務,,力,11,5,,む
1922,無,,火,12,4,,む
1924,霧,,雨,19,S,,む
1925,娘,,女,10,S,,むすめ
1926,名,,口,6,1,,めい
1926,名,,口,6,1,,めい
1927,命,,口,8,3,,めい
1928,明,,日,8,2,,めい
1929,迷,,辵,9,5,,めい
1931,盟,,皿,13,6,,めい
1931,盟,,皿,13,6,,めい
1933,鳴,,鳥,14,2,,めい
1933,鳴,,鳥,14,2,,めい
1934,滅,,水,13,S,,めつ
1935,免,免,儿,8,S,,めん
1936,面,,面,9,3,,めん
1938,麺,麵,麥,16,S,2010,めん
1939,茂,,艸,8,S,,も
1939,茂,,艸,8,S,,も
1940,模,,木,14,6,,も
1941,毛,,毛,4,2,,もう
1943,盲,,目,8,S,,もう
1944,耗,,耒,10,S,,もう
1945,猛,,犬,11,S,,もう
1946,網,,糸,14,S,,もう
1946,網,,糸,14,S,,もう
1947,目,,目,5,1,,もく
1949,門,,門,8,2,,もん
1949,門,,門,8,2,,もん
1950,紋,,糸,10,S,,もん
1951,問,,口,11,3,,もん
1953,夜,,夕,8,2,,や
1953,夜,,夕,8,2,,や
1954,野,,里,11,2,,や
1955,弥,彌,弓,8,S,2010,や
1957,役,,彳,7,3,,やく
1957,役,,彳,7,3,,やく
1958,約,,糸,9,4,,やく
1959,訳,譯,言,11,6,,やく
1960,薬,藥,艸,16,3,,やく
1962,闇,,門,17,S,2010,やみ
1963,由,,田,5,3,,ゆ
1963,由,,田,5,3,,ゆ
1964,油,,水,8,3,,ゆ
1966,愉,,心,12,S,,ゆ
1967,諭,,言,16,S,,ゆ
1968,輸,,車,16,5,,ゆ
1968,輸,,車,16,5,,ゆ
1970,唯,,口,11,S,,ゆい
1970,唯,,口,11,S,,ゆい
1971,友,,又,4,2,,ゆう
1972,有,,月,6,3,,ゆう
1973,勇,,力,9,4,,ゆう
1974,幽,,幺,9,S,,ゆう
1976,郵,,邑,11,6,,ゆう
1976,郵,,邑,11,6,,ゆう
1978,猶,,犬,12,S,,ゆう
1979,裕,,衣,12,S,,ゆう
1979,裕,,衣,12,S,,ゆう
1980,遊,,辵,12,3,,ゆう
1981,雄,,隹,12,S,,ゆう
1982,誘,,言,14,S,,ゆう
1984,融,,虫,16,S,,ゆう
1984,融,,虫,16,S,,ゆう
1985,優,,人,17,6,,ゆう
1986,与,與,臼,3,S,,よ
1987,予,豫,豕,4,3,,よ
1988,余,餘,食,7,5,,よ
1990,預,,頁,13,6,,よ
1991,幼,,幺,5,6,,よう
1991,幼,,幺,5,6,,よう
1992,用,,用,5,2,,よう
1994,妖,,女,7,S,2010,よう
1994,妖,,女,7,S,2010,よう
1995,洋,,水,9,3,,よう
1996,要,,襾,9,4,,よう
1997,容,,宀,10,5,,よう
1999,揚,,手,12,S,,よう
1999,揚,,手,12,S,,よう
2001,葉,,艸,12,3,,よう
2001,葉,,艸,12,3,,よう
2002,陽,,阜,12,3,,よう
2004,腰,,肉,13,S,,よう
2005,様,樣,木,14,3,,よう
2005,様,樣,木,14,3,,よう
2007,踊,,足,14,S,,よう
2007,踊,,足,14,S,,よう
2009,養,,食,15,4,,よう
2009,養,,食,15,4,,よう
2011,謡,謠,言,16,S,,よう
2011,謡,謠,言,16,S,,よう
2012,曜,,日,18,2,,よう
2013,抑,,手,7,S,,よく
2015,浴,,水,10,4,,よく
2016,欲,,欠,11,6,,よく
2017,翌,,羽,11,6,,よく
2017,翌,,羽,11,6,,よく
2018,翼,,羽,17,S,,よく
2020,裸,,衣,13,S,,ら
2021,羅,,网,19,S,1981,ら
2021,羅,,网,19,S,1981,ら
2022,来,來,人,7,2,,らい
2023,雷,,雨,13,S,,らい
2024,頼,賴,貝,16,S,,らい
2026,落,,艸,12,3,,らく
2026,落,,艸,12,3,,らく
2028,辣,,辛,14,S,2010,らつ
2029,乱,亂,乙,7,6,,らん
2029,乱,亂,乙,7,6,,らん
2031,覧,覽,見,17,6,,らん
2031,覧,覽,見,17,6,,らん
2033,藍,,艸,18,S,2010,らん
2034,欄,欄,木,20,S,,らん
2035,吏,,口,6,S,,り
2036,利,,刀,7,4,,り
2036,利,,刀,7,4,,り
2037,里,,里,7,2,,り
2038,理,,玉,11,2,,り
2040,裏,,衣,13,6,,り
2041,履,,尸,15,S,,り
2042,璃,,玉,15,S,2010,り
2043,離,,隹,19,S,,り
2043,離,,隹,19,S,,り
2044,陸,,阜,11,4,,りく
2045,立,,立,5,1,,りつ
2046,律,,彳,9,6,,りつ
2048,略,,田,11,5,,りゃく
2048,略,,田,11,5,,りゃく
2049,柳,,木,9,S,,りゅう
2050,流,,水,10,3,,りゅう
2051,留,,田,10,5,,りゅう
2052,竜,龍,龍,10,S,1981,りゅう
2054,隆,隆,阜,11,S,,りゅう
2055,硫,,石,12,S,,りゅう
2056,侶,,人,9,S,2010,りょ
2057,旅,,方,10,3,,りょ
2057,旅,,方,10,3,,りょ
2059,慮,,心,15,S,,りょ
2059,慮,,心,15,S,,りょ
2060,了,,亅,2,S,,りょう
2061,両,兩,入,6,3,,りょう
2062,良,,艮,7,4,,りょう
2063,料,,斗,10,4,,りょう
2064,涼,,水,11,S,,りょう
2066,陵,,阜,11,S,,りょう
2066,陵,,阜,11,S,,りょう
2067,量,,里,12,4,,りょう
2068,僚,,人,14,S,,りょう
2069,領,,頁,14,5,,りょう
2071,療,,疒,17,S,,りょう
2071,療,,疒,17,S,,りょう
2073,糧,,米,18,S,,りょう
2074,力,,力,2,1,,りょく
2074,力,,力,2,1,,りょう
2075,緑,綠,糸,14,3,,りょう
2076,林,,木,8,1,,りん
2078,倫,,人,10,S,,りん
2078,倫,,人,10,S,,りん
2079,輪,,車,15,4,,りん
2080,隣,,阜,16,S,,りん
2081,臨,,臣,18,6,,りん
2083,涙,淚,水,10,S,,るい
2084,累,,糸,11,S,,るい
2085,塁,壘,土,12,S,,るい
2085,塁,壘,土,12,S,,るい
2086,類,類,頁,18,4,,るい
2087,令,,人,5,4,,れい
2088,礼,禮,示,5,3,,れい
2089,冷,,冫,7,4,,れい
2091,戻,戾,戶,7,S,1981,れい
2091,戻,戾,戶,7,S,1981,れい
2092,例,,人,8,4,,れい
2093,鈴,,金,13,S,,れい
2095,霊,靈,雨,15,S,,れい
2095,霊,靈,雨,15,S,,れい
2097,齢,齡,齒,17,S,,れい
2097,齢,齡,齒,17,S,,れい
2098,麗,,鹿,19,S,,れい
2099,暦,曆,日,14,S,,れき
2100,歴,歷,止,14,5,,れき
2101,列,,刀,6,3,,れつ
2103,烈,,火,10,S,,れつ
2104,裂,,衣,12,S,,れつ
2105,恋,戀,心,10,S,,れん
2105,恋,戀,心,10,S,,れん
2106,連,,辵,10,4,,れん
2108,練,練,糸,14,3,,れん
2108,練,練,糸,14,3,,れん
2110,呂,,口,7,S,2010,ろ
2111,炉,爐,火,8,S,,ろ
2112,賂,,貝,13,S,2010,ろ
2113,路,,足,13,3,,ろ
2113,路,,足,13,3,,ろ
2114,露,,雨,21,S,,ろ
2115,老,,老,6,4,,ろう
2116,労,勞,力,7,4,,ろう
2118,郎,郞,邑,9,S,,ろう
2118,郎,郞,邑,9,S,,ろう
2119,朗,朗,月,10,6,,ろう
2121,廊,廊,广,12,S,,ろう
2122,楼,樓,木,13,S,,ろう
2123,漏,,水,14,S,,ろう
2124,籠,,竹,22,S,2010,ろう
2125,六,,八,4,1,,ろく
2126,録,錄,金,16,4,,ろく
2126,録,錄,金,16,4,,ろく
2128,論,,言,15,6,,ろん
2128,論,,言,15,6,,ろん
2129,和,,口,8,3,,わ
2130,話,,言,13,2,,わ
2132,脇,,肉,10,S,2010,わき
2133,惑,,心,12,S,,わく
2133,惑,,心,12,S,,わく
2135,湾,灣,水,12,S,,わん
2135,湾,灣,水,12,S,,わん
2136,腕,,肉,12,S,,わん
