1,亜,亞,二,7,S,,あ
524,剣,劍,刀,10,S,,けん
525,拳,,手,10,S,2010,けん
526,軒,,車,10,S,,けん
527,健,,人,11,4,,けん
528,険,險,阜,11,5,,けん
529,圏,圈,囗,12,S,,けん
530,堅,,土,12,S,,けん
531,検,檢,木,12,5,,けん
532,嫌,,女,13,S,1981,けん
533,献,獻,犬,13,S,,けん
534,絹,,糸,13,6,,けん
535,遣,,辵,13,S,,けん
536,権,權,木,15,6,,けん
537,憲,,心,16,6,,けん
538,賢,,貝,16,S,,けん
539,謙,,言,17,S,,けん
540,鍵,,金,17,S,2010,けん
541,繭,,糸,18,S,,けん
542,顕,顯,頁,18,S,,けん
543,験,驗,馬,18,4,,けん
544,懸,,心,20,S,,けん
545,元,,儿,4,2,,げん
546,幻,,幺,4,S,,げん
547,玄,,玄,5,S,,げん
548,言,,言,7,2,,げん
549,弦,,弓,8,S,,げん
550,限,,阜,9,5,,げん
551,原,,厂,10,2,,げん
552,現,,玉,11,5,,げん
553,舷,,舟,11,S,2010,げん
554,減,,水,12,5,,げん
555,源,,水,13,6,,げん
556,厳,嚴,口,17,6,,げん
557,己,,己,3,6,,こ
558,戸,,戶,4,2,,こ
559,古,,口,5,2,,こ
560,呼,,口,8,6,,こ
561,固,,囗,8,4,,こ
562,股,,肉,8,S,2010,こ
563,虎,,虍,8,S,2010,こ
564,孤,,子,9,S,,こ
565,弧,,弓,9,S,,こ
566,故,,攴,9,5,,こ
567,枯,,木,9,S,,こ
568,個,,人,10,5,,こ
569,庫,,广,10,3,,く
570,湖,,水,12,3,,こ
571,雇,,隹,12,S,,こ
572,誇,,言,13,S,,こ
573,鼓,,鼓,13,S,,こ
574,錮,,金,16,S,2010,こ
575,顧,,頁,21,S,,こ
576,五,,二,4,1,,ご
577,互,,二,4,S,,ご
578,午,,十,4,2,,ご
579,呉,,口,7,S,,ご
580,後,,彳,9,2,,ご
581,娯,,女,10,S,,ご
582,悟,,心,10,S,,ご
583,碁,,石,13,S,,ご
584,語,,言,14,2,,ご
585,誤,,言,14,6,,ご
586,護,,言,20,5,,ご
587,口,,口,3,1,,く
588,工,,工,3,2,,こう
589,公,,八,4,2,,こう
590,勾,,勹,4,S,2010,こう
591,孔,,子,4,S,,こう
592,功,,力,5,4,,こう
593,巧,,工,5,S,,こう
594,広,廣,广,5,2,,こう
595,甲,,田,5,S,,こう
596,交,,亠,6,2,,こう
597,光,,儿,6,2,,こう
598,向,,口,6,3,,こう
599,后,,口,6,6,,こう
600,好,,女,6,4,,こう
601,江,,水,6,S,,こう
602,考,,老,6,2,,こう
603,行,,行,6,2,,こう
604,坑,,土,7,S,,こう
605,孝,,子,7,6,,こう
606,抗,,手,7,S,,こう
607,攻,,攴,7,S,,こう
608,更,,曰,7,S,,こう
609,効,效,力,8,5,,こう
610,幸,,干,8,3,,こう
611,拘,,手,8,S,,こう
612,肯,,肉,8,S,,こう
613,侯,,人,9,S,,こう
614,厚,,厂,9,5,,こう
615,恒,恆,心,9,S,,こう
616,洪,,水,9,S,1981,こう
617,皇,,白,9,6,,こう
618,紅,,糸,9,6,,こう
619,荒,,艸,9,S,,こう
620,郊,,邑,9,S,,こう
621,香,,香,9,4,,こう
622,候,,人,10,4,,こう
623,校,,木,10,1,,こう
624,耕,,耒,10,5,,こう
625,航,,舟,10,5,,こう
626,貢,,貝,10,S,,こう
627,降,,阜,10,6,,こう
628,高,,高,10,2,,こう
629,康,,广,11,4,,こう
630,控,,手,11,S,,こう
631,梗,,木,11,S,2010,こう
632,黄,黃,黃,11,2,,こう
633,喉,,口,12,S,2010,こう
634,慌,,心,12,S,,こう
635,港,,水,12,3,,こう
636,硬,,石,12,S,,こう
637,絞,,糸,12,S,,こう
638,項,,頁,12,S,,こう
639,溝,,水,13,S,1981,こう
640,鉱,鑛,金,13,5,,こう
641,構,,木,14,5,,こう
642,綱,,糸,14,S,,こう
643,酵,,酉,14,S,,こう
644,稿,,禾,15,S,,こう
645,興,,臼,16,5,,こう
646,衡,,行,16,S,,こう
647,鋼,,金,16,6,,こう
648,講,,言,17,5,,こう
649,購,,貝,17,S,,こう
650,乞,,乙,3,S,2010,こ-う
651,号,號,虍,5,3,,こう
652,合,,口,6,2,,ごう
653,拷,,手,9,S,,ごう
654,剛,,刀,10,S,,ごう
655,傲,,人,13,S,2010,ごう
656,豪,,豕,14,S,,ごう
657,克,,儿,7,S,,こく
658,告,,口,7,5,,こく
659,谷,,谷,7,2,,こく
660,刻,,刀,8,6,,こく
661,国,國,囗,8,2,,こく
662,黒,黑,黑,11,2,,こく
663,穀,穀,禾,14,6,,こく
664,酷,,酉,14,S,,こく
665,獄,,犬,14,S,,ごく
666,骨,,骨,10,6,,こつ
667,駒,,馬,15,S,2010,こま
668,込,,辵,5,S,,こむ
669,頃,,頁,11,S,2010,ころ
670,今,,人,4,2,,こん
671,困,,囗,7,6,,こん
672,昆,,日,8,S,1981,こん
673,恨,,心,9,S,,こん
674,根,,木,10,3,,こん
675,婚,,女,11,S,,こん
676,混,,水,11,5,,こん
677,痕,,疒,11,S,2010,こん
678,紺,,糸,11,S,,こん
679,魂,,鬼,14,S,,こん
680,墾,,土,16,S,,こん
681,懇,,心,17,S,,こん
682,左,,工,5,1,,さ
683,佐,,人,7,4,,さ
684,沙,,水,7,S,2010,さ
685,査,,木,9,5,,さ
686,砂,,石,9,6,,さ
687,唆,,口,10,S,,さ
688,差,,工,10,4,,さ
689,詐,,言,12,S,,さ
690,鎖,,金,18,S,,さ
691,座,,广,10,6,,ざ
692,挫,,手,10,S,2010,ざ
693,才,,手,3,2,,さい
694,再,,冂,6,5,,さい
695,災,,火,7,5,,さい
696,妻,,女,8,5,,さい
697,采,,釆,8,S,2010,さい
698,砕,碎,石,9,S,,さい
699,宰,,宀,10,S,,さい
700,栽,,木,10,S,,さい
701,彩,,彡,11,S,,さい
702,採,,手,11,5,,さい
703,済,濟,水,11,6,,さい
704,祭,,示,11,3,,さい
705,斎,齋,齊,11,S,,さい
706,細,,糸,11,2,,さい
707,菜,,艸,11,4,,さい
708,最,,曰,12,4,,さい
709,裁,,衣,12,6,,さい
710,債,,人,13,S,,さい
711,催,,人,13,S,,さい
712,塞,,土,13,S,2010,さい
713,歳,,止,13,S,,さい
714,載,,車,13,S,,さい
715,際,,阜,14,5,,さい
717,在,,土,6,5,,ざい
717,在,,土,6,5,,ざい
718,材,,木,7,4,,ざい
720,財,,貝,10,5,,ざい
720,財,,貝,10,5,,ざい
721,罪,,网,13,5,,ざい
722,崎,,山,11,4,1981,さき
723,作,,人,7,2,,さく
724,削,,刀,9,S,,さく
726,柵,,木,9,S,2010,さく
727,索,,糸,10,S,,さく
727,索,,糸,10,S,,さく
728,策,,竹,12,6,,さく
730,搾,,手,13,S,,さく
731,錯,,金,16,S,,さく
732,咲,,口,9,S,,さ-く
732,咲,,口,9,S,,さく
733,冊,,冂,5,6,,さつ
734,札,,木,5,4,,さつ
735,刷,,刀,8,4,,さつ
737,拶,,手,9,S,2010,さつ
738,殺,殺,殳,10,5,,さつ
738,殺,殺,殳,10,5,,さつ
739,察,,宀,14,4,,さつ
740,撮,,手,15,S,,さつ
742,雑,雜,隹,14,5,,ざつ
742,雑,雜,隹,14,5,,ざつ
744,三,,一,3,1,,さん
744,三,,一,3,1,,さん
745,山,,山,3,1,,さん
746,参,參,厶,8,4,,さん
748,蚕,蠶,虫,10,6,,さん
749,惨,慘,心,11,S,,さん
750,産,,生,11,4,,さん
750,産,,生,11,4,,さん
752,散,,攴,12,4,,さん
752,散,,攴,12,4,,さん
753,算,,竹,14,2,,さん
754,酸,,酉,14,5,,さん
755,賛,贊,貝,15,5,,さん
756,残,殘,歹,10,4,,ざん
757,斬,,斤,11,S,2010,ざん
759,士,,士,3,5,,し
759,士,,士,3,5,,し
760,子,,子,3,1,,し
761,支,,支,4,5,,し
762,止,,止,4,2,,し
763,氏,,氏,4,4,,し
764,仕,,人,5,3,,し
765,史,,口,5,5,,し
766,司,,口,5,4,,し
767,四,,囗,5,1,,し
768,市,,巾,5,2,,し
769,矢,,矢,5,2,,し
770,旨,,日,6,S,,し
771,死,,歹,6,3,,し
773,至,,至,6,6,,し
773,至,,至,6,6,,し
775,志,,心,7,5,,し
775,志,,心,7,5,,し
776,私,,禾,7,6,,し
777,使,,人,8,3,,し
778,刺,,刀,8,S,,し
779,始,,女,8,3,,し
780,姉,,女,8,2,,し
781,枝,,木,8,5,,し
783,肢,,肉,8,S,1981,し
784,姿,,女,9,6,,し
784,姿,,女,9,6,,し
785,思,,心,9,2,,し
786,指,,手,9,3,,し
787,施,,方,9,S,,し
788,師,,巾,10,5,,し
790,紙,,糸,10,2,,し
790,紙,,糸,10,2,,し
792,視,視,見,11,6,,し
792,視,視,見,11,6,,し
794,詞,,言,12,6,,し
794,詞,,言,12,6,,し
795,歯,齒,齒,12,3,,し
797,試,,言,13,4,,し
797,試,,言,13,4,,し
798,詩,,言,13,3,,し
799,資,,貝,13,5,,し
801,誌,,言,14,6,,し
801,誌,,言,14,6,,し
803,摯,,手,15,S,2010,し
804,賜,,貝,15,S,,し
805,諮,,言,16,S,,し
806,示,,示,5,5,,じ
806,示,,示,5,5,,じ
807,字,,子,6,1,,じ
808,寺,,寸,6,2,,じ
809,次,,欠,6,3,,じ
811,自,,自,6,2,,じ
811,自,,自,6,2,,じ
812,似,,人,7,5,,じ
813,児,兒,儿,7,4,,じ
814,事,,亅,8,3,,じ
816,治,,水,8,4,,じ
816,治,,水,8,4,,じ
817,持,,手,9,3,,じ
818,時,,日,10,2,,じ
819,滋,,水,12,4,,じ
821,辞,辭,辛,13,4,,じ
821,辞,辭,辛,13,4,,じ
822,磁,,石,14,6,,じ
824,璽,,玉,19,S,,じ
825,鹿,,鹿,11,4,2010,しか、（か）
825,鹿,,鹿,11,4,2010,しか
826,式,,弋,6,3,,しき
827,識,,言,19,5,,しき
829,七,,一,2,1,,しち
830,𠮟,,口,5,S,2010,しつ
831,失,,大,5,4,,しつ
831,失,,大,5,4,,しつ
832,室,,宀,9,2,,しつ
834,執,,土,11,S,,しつ
834,執,,土,11,S,,しつ
