[is to seat without a chair,on your legs]

to decay,「腐る」,くさる
[the means to lose quality over time]
[dead body decay]
[to decay is to rot]
[radioactive atoms have decay period]

to decelerate,「減速する」,げんそくする
[to change speed ever second , to slow down]

to decompose something,「～を分解する」,ぶんかいする
[opposite of to compose, to make something apart]
[to take something complex and disassemble it]
[decompose in order to see what it is made of]
[same as analysis]
[in some way same as decay]
[leafs are decomposing]
[could be the same as decay]

to detach something from something,「取り外す」,とりはずす
[after attaching the cable to the tv, dont forget to detach it]
[opposite to attaching]

to dig something out,「～を掘り出す」,ほりだす
[after pirates burry their treasure, they usually dig it up]

to disagree with an opinion,「意見と同意しない」,どういしない
[when someone expresses his oppinion about something, you can agree or disagree with that oppinion]





to disconnect from something,「～から切断する」,せつだんする
to divide something by,「～で～を割る」,わる

to emphasize something,「～を強調する」,きょうちょうする
to empty something,「～を空にする」,からにする

to evaporate ,「が蒸発する」,じょうはつする

to explode,「が爆発する」,ばくはつする

to fall down rolling,「が転がり落ちる」,ころがりおちる

to feed someone,「食わす」,くわす

to fill something up,「～を～で満たす」,みたす

to fix something,「～を修理する」,しゅうりする

to flip something,「ひっくり返す」,ひっくりかえす

to get empty,「が空になる」,からになる

to collide with something,「がブツカル」,ぶつかる

to get influenced by someone,「が誰かの影響を受ける」,えいきょうをうける
to get lost,「が迷う」,まよう
[to lose a way]
[to be lost in thoughts = to be confused]

to get motivated,「が刺激を受ける」,しげきをうける
[motivation is vision of near future where one wants to get]
[normal meaning is to get moving]
[i am motivated to lear Japanse]
[why am i learning Japanese?]
[the answer is that i am motivated by some idea]

to get punished,「が罰を受ける」,ばつをうける
to get rid of something,「～を退治する」,たいじする

 

to harm someone,「に危害を加える」,きがいをくわえる
to hear something,「を耳にする」,みみにする
to heat something up,「を暖める」,あたためる
to hesitate,「が迷う」,まよう



to hope for something,「何かを願う」,ねがう
to imagine something,「何かを想像する」,そうぞうする
to implode,[が爆縮する],ばくしゅくする


to influence someone,「に影響を与える」,えいきょうをあたえる
to interrogate someone,「を尋問する」,じんもんする
to itch,「がムズムズ」,むずむずする
to jump over something,「何かを飛び越える」,とびこえる
to keep in memory,「を覚える」,をおぼえる
to knock on something,「ノックする」,のっくする

to learn something,「を学ぶ」,まなぶ
to leave somewhere,「どこかを出発する」,しゅっぱつする
to leisure,「が遊ぶ」,あそぶ
to lent something,「を貸す」,かす
to lie about something,「に嘘をつく」,うそをつく
to lie down,「が横になる」,よこになる
to lift something,「何かを持ち上げる」,もちあげる
to line up something,[を並べる],ならべる
to liquify something,「を溶かす」,とかす


to loosen something,「何かを緩める」,ゆるめる
to lose something,「何かを失う」,うしなう
to lubricate something,「に潤滑油を塗る」,じゅんかつゆをぬる

to make something dirty,「何かを汚す」,よごす
to make something stand,「を立てる」,たてる
to make something wet,「何かを濡らす」,ぬらす

to measure something,「を測る」,はかる
to memorize something,「を覚える」,おぼえる
to mix something together,「何かを混ぜる」,まぜる

to nod,「が頷く」,うなずく
to notice something,「何が気付く」,きづく
to obay(to follow),「が従う」,したがう
to obtain(to get),「を手に入れる」,てにいれる
to open the door,「何かを開く」,あく

to pack something in,「～を詰める」,つめる
to paint something,「～を塗る」,ぬる
to pass something over,「～を渡す」,わたす
to pay attention to something,「～に注意を払う」,ちゅういをはらう

to plant something,「～を植える」,うえる


to poke at something,「を突く」,つつく

to possess something,「を所有する」,しょゆうする
to prepare something,「何かを用意する」,よういする
to present something(without giving),「を差し出す」,さしだす,
to present something and give,「を差し上げる」,さしあげる

to print something,「何かを印刷する」,いんさつする
to produce something,[何かを生産する],せいさんする
to prohibit something,「を禁止する」,きんしする
to protect something,「を保護する」,ほごする
to pull something,「を引っ張る」,ひっぽる
to punish someone,「罰を与える」,ばつをあげる



to put something in order,「を整理する」,せいりする
to question someone,「を質問する」,しつもんする
to react to something,「を反応する」,はんのうする

to recall a memory,「を思い出す」,をおもいだす
to receive something,「を受ける」,うける
to recommend something,「を勧める」,すすめる
to reduce something,「を減らす」,へらす
to reflect something,「を映す」,うつす
to replace something,「を取り替える」,くるかえる
to respect someone,「を尊敬する」,そんけいする
to retreat,「が後退する」,こうたいする

to reverse something,「を反転する」,はんてんする

to roll something,「を転がす」,ころがす
to roll,「が転がる」,ころがる
to rotate something,「を回す」,まわす
to rotate,「が回る」,まわる
to run away from someone,「誰かから逃げる」,にげる

to rust,「が錆びる」,さびる
to safekeep,「を守る」,まもる
to save someone,「誰かを救う」,すくう

to scratch something,「を引っ掻く」,ひっかく

to sew something,「を縫う」,ぬう
to shake something,「を振る」,ふる

to shift something,「を移す」,うつす

to shiver,「が震える」,ふるえる
to shoot at something,「を放つ」,はなつ

to shrink,「が縮む」,ちぢむ
to signal someone,「を告げる」,つげる
to simplify something,「を簡素化する」,かんそかする

to slow down,「を減速する」,げんそくする
to smell something,「を嗅ぐ」,かぐ


to sneeze,「が嚏をする」,くしゃみをする
to solidify something,「を固める」,かためる


to speak something,「を語る」,かたる
to split something up,「を分ける」,わける
