298,頑,,頁,13,S,1981,stubborn,かん
299,顔,,頁,18,2,,face,がん
300,願,,頁,19,4,,request,がん
301,企,,人,6,S,,plan,き
302,伎,,人,6,S,2010,deed,き
303,危,,卩,6,6,,dangerous,き
304,机,,木,6,6,,desk,き
305,気,氣,气,6,1,,feeling,き
306,岐,,山,7,4,,branch off,き
307,希,,巾,7,4,,hope,き
308,忌,,心,7,S,,mourning,き
309,汽,,水,7,2,,steam,き
310,奇,,大,8,S,,strange,き
311,祈,祈,示,8,S,,pray,き
312,季,,子,8,4,,seasons,き
313,紀,,糸,9,5,,chronicle,き
314,軌,,車,9,S,,rut,き
315,既,既,无,10,S,,previously,き
316,記,,言,10,2,,write down,き
317,起,,走,10,3,,wake up,き
318,飢,,食,10,S,,hungry,き
319,鬼,,鬼,10,S,,ghost,き
320,帰,歸,止,10,2,,return,き
321,基,,土,11,5,,foundation,き
322,寄,,宀,11,5,,approach,き
323,規,,見,11,5,,rule,き
324,亀,龜,龜,11,S,2010,turtle,き
325,喜,,口,12,5,,rejoice,き
326,幾,,幺,12,S,,how many,き
327,揮,,手,12,6,,brandish,き
328,期,,月,12,3,,period of time,き
329,棋,,木,12,S,,chess piece,き
330,貴,,貝,12,6,,precious,き
331,棄,,木,13,S,,abandon,き
332,毀,,殳,13,S,2010,destroy,き
333,旗,,方,14,4,,national flag,き
334,器,器,口,15,4,,container,き
335,畿,,田,15,S,2010,capital,き
336,輝,,車,15,S,,radiance,き
337,機,,木,16,4,,machine,き
338,騎,,馬,18,S,,equestrian,き
339,技,,手,7,5,,skill,ぎ
340,宜,,宀,8,S,,best regards,ぎ
341,偽,僞,人,11,S,,falsehood,ぎ
342,欺,,欠,12,S,,deceit,ぎ
343,義,,羊,13,5,,righteousness,ぎ
344,疑,,疋,14,6,,doubt,ぎ
345,儀,,人,15,S,,ceremony,ぎ
346,戯,戲,戈,15,S,,playful,ぎ
347,擬,,手,17,S,,mimic,ぎ
348,犠,犧,牛,17,S,,sacrifice,ぎ
349,議,,言,20,4,,deliberation,ぎ
350,菊,,艸,11,S,,chrysanthemum,きく
351,吉,,口,6,S,,good luck,きち
352,喫,,口,12,S,,consume,きつ
353,詰,,言,13,S,,packed,きつ
354,却,,卩,7,S,,instead,かえ
355,客,,宀,9,3,,guest,きゃく
356,脚,,肉,11,S,,leg,きゃく
357,逆,,辵,9,5,,inverted,ぎゃく
358,虐,,虍,9,S,,tyrannize,ぎゃく
359,九,,乙,2,1,,nine,きゅう
360,久,,丿,3,5,,long time,きゅう
361,及,,又,3,S,,reach out,きゅう
362,弓,,弓,3,2,,bow,きゅう
363,丘,,一,5,S,,hill,きゅう
364,旧,舊,臼,5,5,,old times,きゅう
365,休,,人,6,1,,rest,きゅう
366,吸,,口,6,6,,suck,きゅう
367,朽,,木,6,S,,decay,きゅう
368,臼,,臼,6,S,2010,mortar,きゅう
369,求,,水,7,4,,request,きゅう
370,究,,穴,7,3,,research,きゅう
371,泣,,水,8,4,,cry,きゅう
372,急,,心,9,3,,hurry,きゅう
373,級,,糸,9,3,,rank,きゅう
374,糾,,糸,9,S,,twist,きゅう
375,宮,,宀,10,3,,shinto shrine,きゅう
376,救,,攴,11,5,,salvation,きゅう
377,球,,玉,11,3,,sphere,きゅう
378,給,,糸,12,4,,salary,きゅう
379,嗅,,口,13,S,2010,smell,きゅう
380,窮,,穴,15,S,,hard up,きゅう
381,牛,,牛,4,2,,cow,ぎゅう
382,去,,厶,5,3,,leave,きょ
383,巨,,工,4,S,,gigantic,きょ
